Date and Time,Time Taken
2024-05-28 01:10:16,4.499721050262451
2024-05-28 01:10:30,4.363204002380371
2024-05-28 01:10:47,4.408085584640503
2024-05-28 01:11:10,5.760487794876099
2024-05-28 01:11:36,3.9460690021514893
2024-05-28 17:40:44,4.5389227867126465
2024-05-28 17:41:26,4.03618597984314
2024-05-28 17:41:55,4.461627960205078
2024-05-28 17:42:28,5.318358898162842
2024-05-28 17:45:34,3.675137996673584
2024-05-28 17:45:58,3.2105729579925537
2024-05-28 17:47:07,3.0545809268951416
2024-05-29 14:27:36,4.507760763168335
2024-05-29 14:27:49,4.193582057952881
2024-05-29 14:28:05,4.721258878707886
2024-05-29 14:28:22,4.376984119415283
2024-05-29 14:28:40,4.4396092891693115
2024-05-29 14:28:55,4.152276039123535
2024-05-29 14:29:14,5.591235876083374
2024-05-29 14:29:30,3.6506919860839844
